TESTING: episode: 10020000, avg_reward: -72.97, success_rate: 0.255, avg_steps: 9.766
TESTING: episode: 20020000, avg_reward: -42.37, success_rate: 0.225, avg_steps: 11.143
TESTING: episode: 30020000, avg_reward: -20.08, success_rate: 0.559, avg_steps: 10.501
TESTING: episode: 40020000, avg_reward: -5.95, success_rate: 0.798, avg_steps: 9.998
TESTING: episode: 50020000, avg_reward: 23.83, success_rate: 0.77, avg_steps: 9.444
TESTING: episode: 60020000, avg_reward: 35.91, success_rate: 0.807, avg_steps: 10.365
TESTING: episode: 70020000, avg_reward: 12.86, success_rate: 0.796, avg_steps: 9.356
TESTING: episode: 80020000, avg_reward: 46.63, success_rate: 0.792, avg_steps: 10.426
TESTING: episode: 90020000, avg_reward: 63.15, success_rate: 0.846, avg_steps: 8.37
TESTING: episode: 100020000, avg_reward: 47.37, success_rate: 0.859, avg_steps: 9.339
TESTING: episode: 110020000, avg_reward: 49.11, success_rate: 0.843, avg_steps: 9.347
TESTING: episode: 120020000, avg_reward: 55.26, success_rate: 0.86, avg_steps: 8.278
TESTING: episode: 130020000, avg_reward: 59.29, success_rate: 0.837, avg_steps: 9.726
TESTING: episode: 140020000, avg_reward: 45.37, success_rate: 0.868, avg_steps: 8.264
TESTING: episode: 150020000, avg_reward: 53.84, success_rate: 0.865, avg_steps: 8.115
TESTING: episode: 160020000, avg_reward: 65.53, success_rate: 0.888, avg_steps: 7.907
TESTING: episode: 170020000, avg_reward: 57.73, success_rate: 0.884, avg_steps: 7.995
TESTING: episode: 180020000, avg_reward: 53.97, success_rate: 0.895, avg_steps: 7.64
TESTING: episode: 190020000, avg_reward: 62.18, success_rate: 0.874, avg_steps: 7.862
TESTING: episode: 200020000, avg_reward: 68.25, success_rate: 0.875, avg_steps: 7.698
TESTING: episode: 210020000, avg_reward: 72.3, success_rate: 0.861, avg_steps: 7.726
TESTING: episode: 220020000, avg_reward: 68.38, success_rate: 0.865, avg_steps: 7.741
TESTING: episode: 230020000, avg_reward: 58.36, success_rate: 0.889, avg_steps: 7.529
TESTING: episode: 240020000, avg_reward: 65.07, success_rate: 0.875, avg_steps: 7.374
TESTING: episode: 250020000, avg_reward: 60.94, success_rate: 0.841, avg_steps: 7.52
TESTING: episode: 260020000, avg_reward: 68.83, success_rate: 0.891, avg_steps: 7.163
TESTING: episode: 270020000, avg_reward: 79.23, success_rate: 0.867, avg_steps: 7.401
TESTING: episode: 280020000, avg_reward: 60.93, success_rate: 0.881, avg_steps: 7.277
TESTING: episode: 290020000, avg_reward: 68.97, success_rate: 0.874, avg_steps: 7.38
TESTING: episode: 300020000, avg_reward: 79.07, success_rate: 0.887, avg_steps: 7.23
TESTING: episode: 310020000, avg_reward: 79.15, success_rate: 0.881, avg_steps: 7.258
TESTING: episode: 320020000, avg_reward: 75.19, success_rate: 0.888, avg_steps: 7.133
TESTING: episode: 330020000, avg_reward: 64.64, success_rate: 0.889, avg_steps: 7.17
TESTING: episode: 340020000, avg_reward: 68.69, success_rate: 0.888, avg_steps: 7.249
TESTING: episode: 350020000, avg_reward: 68.52, success_rate: 0.858, avg_steps: 7.305
TESTING: episode: 360020000, avg_reward: 75.03, success_rate: 0.881, avg_steps: 7.222
TESTING: episode: 370020000, avg_reward: 71.0, success_rate: 0.871, avg_steps: 7.159
TESTING: episode: 380020000, avg_reward: 62.34, success_rate: 0.883, avg_steps: 7.119
TESTING: episode: 390020000, avg_reward: 83.36, success_rate: 0.905, avg_steps: 7.162
TESTING: episode: 400020000, avg_reward: 60.66, success_rate: 0.895, avg_steps: 7.131
TESTING: episode: 410020000, avg_reward: 74.93, success_rate: 0.881, avg_steps: 7.185
TESTING: episode: 420020000, avg_reward: 64.99, success_rate: 0.867, avg_steps: 7.607
TESTING: episode: 430020000, avg_reward: 58.62, success_rate: 0.881, avg_steps: 7.238
TESTING: episode: 440020000, avg_reward: 68.51, success_rate: 0.895, avg_steps: 7.058
TESTING: episode: 450020000, avg_reward: 60.61, success_rate: 0.891, avg_steps: 6.99
TESTING: episode: 460020000, avg_reward: 70.8, success_rate: 0.864, avg_steps: 7.335
TESTING: episode: 470020000, avg_reward: 71.04, success_rate: 0.866, avg_steps: 7.195
TESTING: episode: 480020000, avg_reward: 68.74, success_rate: 0.873, avg_steps: 7.175
TESTING: episode: 490020000, avg_reward: 64.89, success_rate: 0.894, avg_steps: 7.167
TESTING: episode: 500020000, avg_reward: 60.79, success_rate: 0.892, avg_steps: 7.059
TESTING: episode: 510020000, avg_reward: 64.43, success_rate: 0.879, avg_steps: 7.216
TESTING: episode: 520020000, avg_reward: 75.08, success_rate: 0.895, avg_steps: 7.173
TESTING: episode: 530020000, avg_reward: 70.62, success_rate: 0.896, avg_steps: 7.098
TESTING: episode: 540020000, avg_reward: 75.33, success_rate: 0.874, avg_steps: 7.178
TESTING: episode: 550020000, avg_reward: 69.19, success_rate: 0.874, avg_steps: 7.259
TESTING: episode: 560020000, avg_reward: 64.66, success_rate: 0.886, avg_steps: 6.93
TESTING: episode: 570020000, avg_reward: 71.34, success_rate: 0.883, avg_steps: 7.102
TESTING: episode: 580020000, avg_reward: 81.26, success_rate: 0.883, avg_steps: 7.153
TESTING: episode: 590020000, avg_reward: 68.79, success_rate: 0.883, avg_steps: 7.008
TESTING: episode: 600020000, avg_reward: 66.43, success_rate: 0.89, avg_steps: 7.021
TESTING: episode: 610020000, avg_reward: 68.82, success_rate: 0.882, avg_steps: 7.15
TESTING: episode: 620020000, avg_reward: 68.79, success_rate: 0.887, avg_steps: 7.022
TESTING: episode: 630020000, avg_reward: 73.2, success_rate: 0.877, avg_steps: 7.17
TESTING: episode: 640020000, avg_reward: 70.72, success_rate: 0.855, avg_steps: 7.211
TESTING: episode: 650020000, avg_reward: 64.61, success_rate: 0.869, avg_steps: 7.213
TESTING: episode: 660020000, avg_reward: 58.5, success_rate: 0.882, avg_steps: 7.268
TESTING: episode: 670020000, avg_reward: 66.59, success_rate: 0.893, avg_steps: 7.07
TESTING: episode: 680020000, avg_reward: 63.17, success_rate: 0.898, avg_steps: 7.015
TESTING: episode: 690020000, avg_reward: 65.13, success_rate: 0.885, avg_steps: 7.0
TESTING: episode: 700020000, avg_reward: 62.42, success_rate: 0.893, avg_steps: 7.051
TESTING: episode: 710020000, avg_reward: 65.06, success_rate: 0.888, avg_steps: 6.971
TESTING: episode: 720020000, avg_reward: 73.2, success_rate: 0.879, avg_steps: 7.164
TESTING: episode: 730020000, avg_reward: 81.22, success_rate: 0.89, avg_steps: 6.925
TESTING: episode: 740020000, avg_reward: 64.5, success_rate: 0.899, avg_steps: 6.954
TESTING: episode: 750020000, avg_reward: 71.09, success_rate: 0.896, avg_steps: 6.987
TESTING: episode: 760020000, avg_reward: 69.04, success_rate: 0.888, avg_steps: 7.063
TESTING: episode: 770020000, avg_reward: 77.0, success_rate: 0.893, avg_steps: 7.07
TESTING: episode: 780020000, avg_reward: 66.99, success_rate: 0.896, avg_steps: 6.987
TESTING: episode: 790020000, avg_reward: 56.84, success_rate: 0.904, avg_steps: 6.892
TESTING: episode: 800020000, avg_reward: 68.55, success_rate: 0.888, avg_steps: 7.152
TESTING: episode: 810020000, avg_reward: 73.31, success_rate: 0.896, avg_steps: 7.056
TESTING: episode: 820020000, avg_reward: 73.5, success_rate: 0.886, avg_steps: 7.036
TESTING: episode: 830020000, avg_reward: 67.03, success_rate: 0.898, avg_steps: 7.027
TESTING: episode: 840020000, avg_reward: 58.11, success_rate: 0.886, avg_steps: 6.963
TESTING: episode: 850020000, avg_reward: 69.05, success_rate: 0.887, avg_steps: 6.943
TESTING: episode: 860020000, avg_reward: 73.12, success_rate: 0.87, avg_steps: 6.928
TESTING: episode: 870020000, avg_reward: 75.24, success_rate: 0.886, avg_steps: 6.945
TESTING: episode: 880020000, avg_reward: 74.81, success_rate: 0.893, avg_steps: 6.851
TESTING: episode: 890020000, avg_reward: 65.07, success_rate: 0.895, avg_steps: 6.906
TESTING: episode: 900020000, avg_reward: 73.78, success_rate: 0.874, avg_steps: 6.992
TESTING: episode: 910020000, avg_reward: 72.79, success_rate: 0.889, avg_steps: 6.998
TESTING: episode: 920020000, avg_reward: 72.94, success_rate: 0.89, avg_steps: 6.935
TESTING: episode: 930020000, avg_reward: 73.05, success_rate: 0.886, avg_steps: 7.037
TESTING: episode: 940020000, avg_reward: 70.93, success_rate: 0.892, avg_steps: 6.941
TESTING: episode: 950020000, avg_reward: 69.11, success_rate: 0.876, avg_steps: 7.161
TESTING: episode: 960020000, avg_reward: 71.28, success_rate: 0.882, avg_steps: 7.079
